,sepal.length,sepal.width,petal.length,petal.width,variedad,Ancho Est. P̩talo
0,5.1,3.5,1.4,0.2,Setosa,-0.574722813739051
5,5.4,3.9,1.7,0.4,Setosa,-0.3747228137390509
10,5.4,3.7,1.5,0.2,Setosa,-0.574722813739051
14,5.8,4.0,1.2,0.2,Setosa,-0.574722813739051
15,5.7,4.4,1.5,0.4,Setosa,-0.3747228137390509
16,5.4,3.9,1.3,0.4,Setosa,-0.3747228137390509
17,5.1,3.5,1.4,0.3,Setosa,-0.47472281373905095
18,5.7,3.8,1.7,0.3,Setosa,-0.47472281373905095
19,5.1,3.8,1.5,0.3,Setosa,-0.47472281373905095
21,5.1,3.7,1.5,0.4,Setosa,-0.3747228137390509
27,5.2,3.5,1.5,0.2,Setosa,-0.574722813739051
32,5.2,4.1,1.5,0.1,Setosa,-0.674722813739051
33,5.5,4.2,1.4,0.2,Setosa,-0.574722813739051
36,5.5,3.5,1.3,0.2,Setosa,-0.574722813739051
44,5.1,3.8,1.9,0.4,Setosa,-0.3747228137390509
46,5.1,3.8,1.6,0.2,Setosa,-0.574722813739051
48,5.3,3.7,1.5,0.2,Setosa,-0.574722813739051
109,7.2,3.6,6.1,2.5,Virginica,1.725277186260949
117,7.7,3.8,6.7,2.2,Virginica,1.4252771862609492
131,7.9,3.8,6.4,2.0,Virginica,1.225277186260949
